305 at: 463.26  st: 520.77  vt: 0.84  dt: 521.62
307 at: 464.23  st: 521.62  vt: 2.40  dt: 524.01
302 at: 460.47  st: 514.76  vt: 9.45  dt: 524.22
299 at: 458.88  st: 512.11  vt: 16.96  dt: 529.06
304 at: 463.26  st: 518.25  vt: 12.26  dt: 530.51
309 at: 468.25  st: 524.22  vt: 11.84  dt: 536.05
308 at: 466.74  st: 524.01  vt: 12.97  dt: 536.99
306 at: 463.87  st: 521.00  vt: 17.31  dt: 538.31
312 at: 476.08  st: 536.05  vt: 3.05  dt: 539.11
315 at: 479.00  st: 539.11  vt: 0.10  dt: 539.20
301 at: 459.21  st: 513.89  vt: 27.44  dt: 541.33
310 at: 474.58  st: 529.06  vt: 12.55  dt: 541.62
314 at: 478.47  st: 538.31  vt: 4.11  dt: 542.42
319 at: 484.54  st: 542.42  vt: 0.24  dt: 542.66
313 at: 478.16  st: 536.99  vt: 7.84  dt: 544.82
317 at: 483.41  st: 541.33  vt: 4.10  dt: 545.43
321 at: 488.37  st: 544.82  vt: 2.28  dt: 547.10
322 at: 491.22  st: 545.43  vt: 3.66  dt: 549.10
320 at: 488.14  st: 542.66  vt: 7.14  dt: 549.79
323 at: 493.24  st: 547.10  vt: 2.82  dt: 549.92
326 at: 498.83  st: 549.92  vt: 0.65  dt: 550.57
325 at: 497.67  st: 549.79  vt: 5.66  dt: 555.45
328 at: 503.04  st: 555.45  vt: 5.85  dt: 561.31
327 at: 500.26  st: 550.57  vt: 14.63  dt: 565.20
318 at: 483.55  st: 541.62  vt: 24.34  dt: 565.95
330 at: 509.48  st: 565.20  vt: 1.03  dt: 566.23
329 at: 509.43  st: 561.31  vt: 8.16  dt: 569.47
316 at: 480.09  st: 539.20  vt: 35.95  dt: 575.16
332 at: 512.88  st: 566.23  vt: 8.95  dt: 575.18
335 at: 517.33  st: 575.18  vt: 0.70  dt: 575.88
324 at: 495.29  st: 549.10  vt: 27.05  dt: 576.15
311 at: 475.72  st: 530.51  vt: 47.42  dt: 577.93
338 at: 520.68  st: 577.93  vt: 5.28  dt: 583.21
334 at: 516.17  st: 575.16  vt: 9.46  dt: 584.61
333 at: 515.36  st: 569.47  vt: 15.54  dt: 585.00
341 at: 523.75  st: 585.00  vt: 1.30  dt: 586.30
339 at: 522.55  st: 583.21  vt: 6.29  dt: 589.51
336 at: 519.43  st: 575.88  vt: 13.96  dt: 589.84
343 at: 525.34  st: 589.51  vt: 1.15  dt: 590.66
342 at: 523.83  st: 586.30  vt: 4.90  dt: 591.20
340 at: 523.27  st: 584.61  vt: 7.34  dt: 591.95
345 at: 526.70  st: 590.66  vt: 12.31  dt: 602.97
348 at: 534.17  st: 602.97  vt: 1.08  dt: 604.05
344 at: 526.13  st: 589.84  vt: 14.81  dt: 604.65
346 at: 527.53  st: 591.20  vt: 14.34  dt: 605.54
350 at: 536.22  st: 604.65  vt: 1.39  dt: 606.03
347 at: 528.09  st: 591.95  vt: 15.11  dt: 607.06
337 at: 520.32  st: 576.15  vt: 32.71  dt: 608.86
352 at: 538.55  st: 606.03  vt: 6.18  dt: 612.21
351 at: 537.93  st: 605.54  vt: 7.34  dt: 612.88
355 at: 545.21  st: 612.21  vt: 3.68  dt: 615.89
354 at: 543.88  st: 608.86  vt: 8.39  dt: 617.25
331 at: 509.66  st: 565.95  vt: 52.19  dt: 618.14
356 at: 546.49  st: 612.88  vt: 7.64  dt: 620.52
349 at: 534.27  st: 604.05  vt: 21.49  dt: 625.54
359 at: 549.90  st: 618.14  vt: 8.49  dt: 626.63
357 at: 548.82  st: 615.89  vt: 12.14  dt: 628.03
358 at: 549.68  st: 617.25  vt: 13.33  dt: 630.58
360 at: 552.14  st: 620.52  vt: 12.85  dt: 633.37
364 at: 557.75  st: 630.58  vt: 5.09  dt: 635.66
365 at: 560.05  st: 633.37  vt: 9.31  dt: 642.68
361 at: 552.78  st: 625.54  vt: 18.32  dt: 643.86
353 at: 541.00  st: 607.06  vt: 38.47  dt: 645.53
366 at: 562.97  st: 635.66  vt: 10.44  dt: 646.10
